id,session,genu,bodyCC,splenium,fornix,RantLimbIC,LantLimbIC,RpostLimbIC,LpostLimbIC,RretroLenticularIC,LretroLenticularIC,RantCoronaRad,LantCoronaRad,RsupCoronaRad,LsupCoronaRad,RpostCoronaRad,LpostCoronaRad,RpostThalRad,LpostThalRad,RSagStratum,LSagStratum,REC,LEC,Rcing,Lcing,RhippCing,LhippCing,RsupLongFasc,LsupLongFasc,Runcinate,Luncinate
PH_008,F2,0.00050303,0.00070022,0.00038236,0.0014841,0.00057745,0.0006068,0.00044545,0.00047159,0.0005987,0.00063379,0.00064111,0.00063722,0.00061459,0.00063392,0.00059818,0.00062705,0.00050579,0.00055127,0.00061533,0.00067231,0.00069468,0.00071214,0.00061592,0.00064872,0.00063514,0.00070006,0.0005631,0.00059814,0.00063461,0.00065424
PH_009,F2,0.00054419,0.00073398,0.00040706,0.0011576,0.00058914,0.0005796,0.0004838,0.00049359,0.00056296,0.00058468,0.00061518,0.00062486,0.00059972,0.00061754,0.00062754,0.00062689,0.00057368,0.00057821,0.00063607,0.00063437,0.0006802,0.00067377,0.00064096,0.00067125,0.00072035,0.00074949,0.00057482,0.00058619,0.00063448,0.00061868
PH_101,F2,0.00053152,0.00069415,0.00042909,0.00096001,0.00058058,0.00060804,0.00047332,0.00048887,0.00057803,0.0005708,0.00065458,0.00065119,0.00059995,0.000615,0.0006601,0.00067221,0.00059303,0.00063268,0.00062023,0.00062963,0.00064786,0.00065984,0.00061102,0.00062681,0.0006627,0.0007496,0.00062677,0.00062206,0.00061741,0.00061785
PH_102,F2,0.00061252,0.00080002,0.00040349,0.001543,0.00057876,0.00062738,0.00051145,0.00049961,0.00059175,0.00058723,0.00063625,0.0006382,0.00060899,0.00061642,0.00056421,0.00057923,0.00056518,0.00057577,0.00060163,0.00061856,0.00068179,0.00067732,0.00061403,0.00066448,0.00066266,0.00067891,0.00059649,0.00059404,0.0006373,0.00063186
PH_103,F2,0.00053506,0.0007266,0.00037893,0.0012032,0.0005595,0.00058283,0.00044028,0.00045769,0.00054835,0.00060117,0.00061799,0.00061979,0.00057582,0.00058945,0.00058118,0.00058728,0.00054376,0.00057236,0.00062493,0.0006529,0.00072296,0.00073824,0.00061118,0.00060393,0.0006968,0.0007312,0.00057776,0.00056859,0.00060712,0.00059953
PH_104,F2,0.00050324,0.00067607,0.0003576,0.0014635,0.00054597,0.00058234,0.00044052,0.00045977,0.00055502,0.00054855,0.00061125,0.00058062,0.00057041,0.00057808,0.00056691,0.00060006,0.00051109,0.00053472,0.00057632,0.00056328,0.00062644,0.00062116,0.00059696,0.00060623,0.00066436,0.00070378,0.00054274,0.00053774,0.00054834,0.00053573
PH_105,F2,0.00051068,0.00074399,0.00046302,0.0011277,0.00058305,0.00058677,0.00044337,0.00046374,0.00058671,0.00059801,0.00062194,0.00062975,0.00059178,0.0006127,0.00069058,0.00074929,0.00065807,0.00070298,0.00058507,0.00058749,0.00066361,0.000664,0.00062851,0.00061502,0.00063355,0.0006914,0.00060192,0.00059775,0.00053755,0.00056997
PH_106,F2,0.00056559,0.00084343,0.00046314,0.001382,0.00059018,0.00058532,0.00046016,0.00045378,0.00050762,0.00061052,0.00060279,0.00061108,0.00058876,0.00062219,0.0006135,0.00063358,0.00053158,0.00059771,0.00055439,0.00063017,0.00065185,0.00069491,0.00059323,0.00062585,0.00067632,0.00074808,0.00054206,0.00058742,0.00063327,0.00067912
PH_107,F2,0.00052968,0.0007635,0.00046824,0.0012666,0.00058457,0.00057824,0.0004569,0.00045709,0.00058017,0.00057015,0.00063805,0.00064478,0.00061084,0.00060833,0.00067226,0.00069141,0.00060948,0.00063206,0.000646,0.00061605,0.00066602,0.00065396,0.00063136,0.00064429,0.00066354,0.00070049,0.00062585,0.00060763,0.00064051,0.00066108
PH_108,F2,0.00057904,0.00082468,0.00036145,0.0020069,0.00058538,0.00061434,0.0004461,0.00044901,0.00057576,0.00056855,0.00062432,0.0006165,0.00062725,0.00060138,0.00064149,0.0006309,0.00055881,0.00057264,0.00061714,0.0005968,0.00066832,0.00063866,0.00061692,0.0006513,0.0006291,0.00065322,0.0005912,0.00060279,0.00057931,0.00059396
PH_109,F2,0.00051277,0.00074203,0.00040478,0.0019676,0.00052608,0.00058008,0.00042492,0.00046077,0.0005253,0.00054757,0.00057403,0.00056469,0.00057002,0.00060083,0.00058843,0.00060583,0.00056792,0.00058214,0.00056955,0.00059377,0.00063991,0.00062913,0.00060225,0.00063424,0.00069455,0.00070757,0.00052826,0.00055188,0.00056417,0.00056695
PH_110,F2,0.00043153,0.00064726,0.00039999,0.00089851,0.00055685,0.00055325,0.00045219,0.00046274,0.00053732,0.00058235,0.00056877,0.00055428,0.00055754,0.00056766,0.00057917,0.00065032,0.00046295,0.00053866,0.00055767,0.0005835,0.00063711,0.00064167,0.0006118,0.00062783,0.000614,0.00071505,0.00055558,0.00059154,0.00057665,0.00060065
PH_111,F2,0.00052522,0.00073388,0.00042866,0.0010588,0.00054928,0.00056601,0.0004721,0.00045919,0.0005878,0.0005601,0.00063218,0.00061135,0.00058518,0.00059315,0.0006041,0.00063362,0.00056851,0.00058152,0.00060339,0.00060737,0.00063817,0.00061906,0.00062022,0.00061583,0.0007369,0.00073159,0.00057767,0.00058061,0.00065677,0.0005986
