id,session,genu,bodyCC,splenium,fornix,RantLimbIC,LantLimbIC,RpostLimbIC,LpostLimbIC,RretroLenticularIC,LretroLenticularIC,RantCoronaRad,LantCoronaRad,RsupCoronaRad,LsupCoronaRad,RpostCoronaRad,LpostCoronaRad,RpostThalRad,LpostThalRad,RSagStratum,LSagStratum,REC,LEC,Rcing,Lcing,RhippCing,LhippCing,RsupLongFasc,LsupLongFasc,Runcinate,Luncinate
PH_002,F2,0.0016658,0.001706,0.0016627,0.0023997,0.0013771,0.0013546,0.0014295,0.0014355,0.0013143,0.0013791,0.0013508,0.0013173,0.0011997,0.0012417,0.0012934,0.0013479,0.0013956,0.0014137,0.0013486,0.001406,0.0011892,0.0011821,0.0011891,0.0012509,0.0011294,0.0012457,0.0011587,0.0012124,0.0013364,0.0012887
PH_004,F2,0.0016159,0.0016948,0.0016013,0.0022479,0.0013059,0.0013537,0.0014005,0.0013868,0.0012884,0.0013736,0.0012471,0.0012436,0.0011604,0.0012077,0.0011974,0.0012332,0.0013469,0.0014166,0.0013074,0.0013261,0.0012135,0.0011997,0.0011548,0.0012394,0.0011289,0.0011987,0.0011697,0.0012213,0.0012014,0.0011731
PH_005,F2,0.0015638,0.0016795,0.0016529,0.0022688,0.001382,0.0013634,0.0014538,0.0015014,0.0013146,0.0013221,0.0012214,0.0012363,0.0011503,0.0011681,0.0012107,0.0011886,0.001336,0.0013935,0.0012417,0.0013131,0.0011813,0.0011909,0.0011394,0.0011592,0.0011293,0.0011065,0.0011057,0.0011207,0.0011884,0.0011707
PH_006,F2,0.0015806,0.0016414,0.0016341,0.0022176,0.0013526,0.0013003,0.0014699,0.0014352,0.0012851,0.00135,0.0012681,0.0012601,0.0012485,0.0012435,0.0013058,0.0012841,0.0013826,0.0014553,0.0012262,0.0013409,0.0011546,0.0011492,0.001187,0.0012552,0.0011687,0.0012077,0.0011473,0.0012209,0.0011557,0.0011327
PH_007,F2,0.0016578,0.0016864,0.0017226,0.0023357,0.0012905,0.0012895,0.0013999,0.0014257,0.0013005,0.0013096,0.0012247,0.0012069,0.0011786,0.0012051,0.001327,0.0012895,0.0013726,0.0014352,0.001332,0.0013053,0.0012009,0.0012331,0.0011716,0.0011657,0.0011509,0.0011957,0.0011318,0.0011671,0.0012282,0.0012424
PH_008,F2,0.0016119,0.0016363,0.001565,0.0024248,0.0013649,0.0013505,0.0014625,0.0014947,0.001258,0.0013051,0.0013039,0.0012402,0.0011595,0.0012484,0.0012301,0.0012329,0.001377,0.0013439,0.0012984,0.0012538,0.0011702,0.0011601,0.0011576,0.0012234,0.0011613,0.0011638,0.0011417,0.0011515,0.0012235,0.0011892
PH_009,F2,0.001528,0.0016351,0.0015365,0.0020843,0.0013191,0.0012958,0.0013784,0.001406,0.0012748,0.001342,0.001226,0.0012426,0.0012227,0.0012117,0.0012136,0.0011923,0.0013077,0.0013327,0.0012384,0.0012756,0.0011726,0.0011788,0.0011536,0.0011965,0.0010774,0.001096,0.0011012,0.001147,0.0012253,0.0011788
PH_101,F2,0.0015414,0.0015651,0.0014943,0.0018952,0.0013019,0.0012823,0.0013517,0.0013238,0.0012682,0.0012744,0.0012203,0.0012206,0.0011523,0.0011429,0.001171,0.0011793,0.0013597,0.0013625,0.0013116,0.0013236,0.0011833,0.0011856,0.0010922,0.0011507,0.001159,0.0011408,0.0011106,0.0011439,0.0012467,0.0012118
PH_102,F2,0.0015969,0.0016367,0.0015551,0.0023996,0.0012874,0.001326,0.0013855,0.0013319,0.0012566,0.0012578,0.0011562,0.0011276,0.0011532,0.0011758,0.0012199,0.0011981,0.0013326,0.0013405,0.0011993,0.0012864,0.0011494,0.0011672,0.0010843,0.0011877,0.0011009,0.0011491,0.0010731,0.0011323,0.0011973,0.0011438
PH_103,F2,0.0015971,0.0016489,0.0015083,0.0021133,0.0013495,0.0013644,0.0013994,0.0014041,0.0013182,0.0012904,0.0012644,0.0012578,0.001202,0.0012045,0.0012413,0.001199,0.0013727,0.0013972,0.001267,0.0012958,0.0012642,0.0012608,0.0011325,0.0011416,0.0011575,0.0011382,0.0011327,0.0011689,0.0012507,0.0011923
PH_104,F2,0.0016073,0.001662,0.0015599,0.0023577,0.0013164,0.0013572,0.0014163,0.0014667,0.001238,0.0013031,0.0012389,0.001233,0.0012266,0.00126,0.0012403,0.0012725,0.0013521,0.0013824,0.0012614,0.0012876,0.0011766,0.0011923,0.001107,0.0011874,0.0010975,0.0011036,0.001137,0.001182,0.0012926,0.0012542
PH_105,F2,0.0015658,0.0017059,0.0016449,0.0020649,0.0013523,0.0013344,0.0014364,0.0014732,0.0012465,0.0012839,0.001273,0.001221,0.0012264,0.0012241,0.0013033,0.0013605,0.0014557,0.0015287,0.0013347,0.0013825,0.0011677,0.0011943,0.0011203,0.0011304,0.0010998,0.0011297,0.0010972,0.0011255,0.0012498,0.0012577
PH_106,F2,0.0016607,0.0016865,0.0016455,0.0023373,0.0013034,0.0012993,0.001323,0.0014094,0.0013189,0.0012892,0.0012414,0.0012524,0.00113,0.0012116,0.0012178,0.001205,0.0014179,0.0014075,0.001338,0.0013684,0.0011931,0.001202,0.0011332,0.0011885,0.0011122,0.0011603,0.001149,0.0011595,0.0011827,0.0011405
PH_107,F2,0.0015207,0.0016145,0.0016097,0.0022271,0.0012652,0.0012216,0.0014,0.0013564,0.0012381,0.0012849,0.0012126,0.0011976,0.0011695,0.0011462,0.0012443,0.001275,0.0013594,0.0014338,0.0012382,0.0013089,0.0011215,0.0011031,0.0011085,0.0011318,0.0011202,0.00108,0.0010838,0.0011418,0.0011481,0.0011195
PH_108,F2,0.0016273,0.001707,0.0015694,0.0027687,0.0013003,0.001286,0.0014434,0.0014552,0.0013024,0.0012812,0.0012172,0.0011705,0.0012285,0.0012652,0.001281,0.0012657,0.001306,0.0013104,0.0012759,0.0012925,0.0011675,0.001197,0.0011142,0.0011737,0.0011042,0.0011146,0.001092,0.0010827,0.0011863,0.0012352
PH_109,F2,0.0016846,0.0016171,0.0016824,0.002712,0.0013693,0.0013787,0.0014889,0.0015511,0.0012947,0.0013474,0.0012489,0.0012365,0.0011913,0.0012205,0.0012644,0.0012766,0.0014539,0.0014633,0.0013334,0.0013493,0.0011697,0.0011469,0.0011797,0.00122,0.0010907,0.001078,0.0011554,0.0011685,0.0012265,0.0012581
PH_110,F2,0.0016313,0.0015947,0.0016447,0.0018924,0.0013133,0.0012941,0.0013967,0.0014276,0.0012789,0.0012959,0.0012161,0.0012528,0.0011498,0.0011667,0.0012041,0.0012676,0.0013544,0.0014224,0.0012834,0.0013094,0.0011534,0.0011574,0.0011511,0.001231,0.0011464,0.0011804,0.0010757,0.0011426,0.0012017,0.0011929
PH_111,F2,0.0015608,0.0016207,0.001518,0.0020741,0.0012626,0.0012388,0.0013502,0.0013564,0.0012234,0.001294,0.0012131,0.0012254,0.0011678,0.0011956,0.0012141,0.0012154,0.0013374,0.001352,0.0012793,0.001306,0.0011574,0.001158,0.0011532,0.0012194,0.0012216,0.0011403,0.0010988,0.001161,0.00125,0.0012309
